用户名,评分,游戏时长,评论
无边困乏,2E+00,2小时32分钟,我是克鲁赛德玩家，对这个同类型的游戏做出如下评价很多人反映游戏无聊，在我看来完全是人物面板的问题，攻击力和血量应该是成适当比例的， 而现在战斗中的情形是：打boss掉血慢，而boss打我也不怎么掉血，按理来说打boss像抛光，那攻击力低血量应该也低，这种情况下应该打不过boss直接暴毙，而实际却是boss打在角色身上根本不疼，导致双方僵持好久另外，角色技能图标不够明确，没明显特征，搞得我只能开局每个人技能都点一遍，来确认哪个是哪个以及氪金价格偏高，开服福利较少，开荒难以上-----------------有人杠我框，那我就给删了，原先是为了说我并非是什么云玩家，但这反正和我想表达的内容也没什么冲突，评价重心还是执剑这个游戏
﻿喵咕,2E+00,20分钟,碰到了回档还好是刚下游戏还能忍，但作为一个参加了两次内测的玩家这个URssr出率真的不能忍就这还敢号称升了概率加了保底！？你当内测玩家都是傻子吗？网络问题还是没优化好，内测的时候就是网断了切网就得后台强退游戏再登录现在还是！体力问题根本就没人管是吗？横向比比这么多手游你游体力最贵好伐！还有这反复炸服是什么情况，感觉内测都比现在要稳定好不好！两次内测都给了四星以上，这次你什么时候把问题解决了什么时候再考虑把分数拉回来！还有啊！你看看内测的时候有多少玩家在说女主立绘问题不说好不好看但你这个一直歪头谁受得了结果呢！你游直接把全屏大立绘改成小头像就算完了！？我勒个去你游捡到鬼了！
﻿十字无伤,2E+00,,说真的，对于一个常年***玩日服游戏的，免费付费蓬莱玉分开，我开始是很习惯的，甚至有点亲切？但无论梦100茜色文野什么的免费送的或肝的照样能抽卡，甚至优先消耗免费，你这免费不能抽卡，甚至低阶的辉夜池都不行，那它就失去最基本也最重要的作用了，除了来新角色买浴衣，也没什么新鲜玩法了，开服各种礼包一堆蓬莱玉，一个免费不让抽卡，我要这么多堆那做什么，逼氪也太明显了吧？还有那个25个任务得SSR的活动，每一档任务都有氪金，最后一个128也叫小氪一下？开服氪金给福利可以有，但你可以单独列个活动吗？和靠肝完成任务拿报酬的活动放一起不膈应吗？我不想氪金，所以准备老老实实肝出卡来，结果你这种活动都要放上氪金项，怕我忽略，为了特意提醒我不氪金与别人差距有多大吗？我现在前三档差不多做完了，当然你要搞个回档清零的骚操作我也没法子，每次看完成情况，一溜儿的已完成，剩下底下的“小氪一下”空白。先等着吧，终于愿意停服维护了，两小时后再登，要是我的光国没了……呵呵。卸载一星投诉三连。
﻿世上名,2E+00,43分钟,我发四这真的是最后一次摸了：昨晚凌晨一点多看见弹出了道歉信和公告，我又打开了游戏，对8起我是个意志力为零讲话不算数的女人……官方对于开服福利和崩溃送了两个十连和一堆不能抽卡的免费玉……？？没关系，我就当我是半途进的游戏没有福利好了，小问题。确实女玩家们一直按不住为老公氪金的手，氪金真的很快乐，摸到老公更快乐。可能是我见识太少，这个游戏的氪金法我见的还真不多……免费玉不能抽卡池……？？可是很多礼包包括月卡给的都是免费玉啊？这啥意思啊……没关系，问题不大，多氪点就ha……多氪点也没用，氪了还是抽不到(｡í _ ì｡)这掉率和yys如出一辙，可是人家r卡也很好用啊……这是堆数值的游戏吧，不是yys那种搭配游戏啊，低级卡又不好看又没用……半夜两点给我玩清醒了，悲愤放下手机，梦里还特么在抽丑丑的r和sr卡ಠ~ಠ————————再体验忏悔：我有罪，我应该中午就删了的，可是我没有，不仅没有我刚刚还悄咪咪的上线摸了一下……嗯？？为什么和我早上还有中午抽到的人不一样？这是啥？这把没有经历回档直接就给我换人了？？？秀的，真的很秀了————————这个！游戏！是怎么回事啊！！我估摸着都这会了服务器应该修好了就又上了，是不是我的操作有问题啊？？可是我全程跟着指引走的啊！它让我开第一章，结果又说我出战人数不足三人，我就想先退出来抽卡，可是退不出来啊！！这是强制指引啊！我都退出游戏重登三回了，还是只能按他的箭头点！指引开启第一章剧情→出战→出战人数不足→想退出抽卡→提示指引过程中无法退出……这是什么死循环啊？？眼看着游戏开服评分暴跌，都跌到和恋一个分了……头好痛，一天崩了俩游戏……
﻿燕晨,2E+00,21分钟,有幸参加过一次内测。开服我还挺激动的，预约了那么久的游戏开服了，刚进去一开始还好。打着打着就转圈圈了操作不了，我还以为我网差，退出去重新登了一下，直接归档，抽的卡sr没了几个，预约领的ur被吞。。。呵呵。无语了这波操作。台服我也玩过一段时间，和国服刚开服比，还是国服福利好一点，没想到它闹这种幺蛾子。。两星给立绘，nb弄出服务器的问题，官方不自己查数据，让玩家自己去向它反馈。第一次看见这样的操作，补偿500个，打发乞丐？半个十连都不够。就凭官方对待玩家的态度，我就不可能玩下去，我来打游戏放松的不是来受气的。呵呵，这游戏我是无语了。
﻿硝石,2E+00,,看热评底下说是因为有的玩家游戏没出没问题才不肯好好关服维护，美名其曰保护人家的正常游戏体验？那我想问，有人正常游戏，有人出问题麻烦一堆，最后大家一起拿补偿，正常游戏的人玩的舒坦/练度领先/给的补偿也拿到了，这对出问题的玩家而言公平吗？而且只要服务器还开着，新进来的玩家就总有出问题的，你们是在自己给自己增加工作量吗？回档没把我怎么样，倒是出了问题不关服维护把我气到了。拜拜吧。
﻿九月初一,1E+00,1小时26分钟,好的这次公告总算正面回答了我想知道的问题了那我等着游戏本身还是不错的我等晚上十点🙂----------------------------------------------------------我刚刚又去看了眼公告我笑死了公告让我找客服，好的没问题然后点进客服——其实那个不叫客服就是个打好了所有字的界面吧——那里头的“联系客服”选项让我去找微信“腾讯客服”处理问题好的我去了，QQ账号也绑定了结果猜怎么着Q:“执剑之刻:我在维护前买了礼包，维护之后出现了回档，礼包和充值累积就都没有了”A:“关于该游戏的玩法等相关问题，请咨询该游戏客服，若您有关于腾讯充值的问题，请详细描述哦。”woc哈哈哈哈哈哈哈哈我头呢我头去哪了可能是我见识少但是我真的是第一次见到这种无限循环踢锅的操作天哪哈哈哈哈哈哈哈哈----------------------------------------------------------我真傻，真的我单知道官方会复制黏贴那对很多人来说毫无意义看了还会生气的公告，我不知道还能干脆不回复看到回复好多人让我降，我还是降了吧……我就当逛街钱包掉了……以及，我是女的……----------------------------------------------------------我只想说一句……你们服务器不稳定就不要开氪金啊……别人的钱是天上掉下来的还是什么？？实不相瞒我刚氪完金还没来得抽卡就闪退然后再登发现服务器维护想着反正也不着急抽卡等着呗结果维护完发现我还得再氪一遍？？？然后看见了公告……哦还是会处理的那还好……结果刚刚我看公告你补偿抽到的卡消失那我充了钱还没抽卡的你打算怎么办？？？顺带一提我现在给二星，要是我收到的回复是把公告部分内容复制黏贴的话我直接降到一星了
﻿墨轩,2E+00,1小时42分钟,整体游戏还不错，我也是体验了一下，但是突然出现了个很严重的问题，就是之前我已经做过的东西，在刚刚的一次更新中全部没有了。之前我正在抽卡突然提示说要更新，更新不大我也没有多想，但是当我再次登录的时候，我需要把前置任务全部重做一遍，而且之前的东西也全部都没有了。这一点我觉得很烦。本来我也不是特别喜欢看剧情的人，尤其是前置任务我已经做过一遍了，但是要我再做一遍我就很难受。希望你们可以重视一下这个问题。不然如果玩到后期突然一个重置的话，那很多心血就白费了呀。
﻿临川集,3E+00,5小时11分钟,8.10 00:40新公告出了，终于有个交代了，加一星。其实补偿虽然重要，最重要的是出了问题及时沟通的态度，这份公告虽然迟来，态度倒是很诚恳。如果在中午就解释不停服的原因，并在公告给刚进来的玩家说明情况，相信不会有这么大的反弹。几次测试，知道游戏的品质是绝对没问题的，正因此才愿意回档几次都重新肝，正因此在官方没有回复的时候那么焦灼。希望以后出问题能及时和玩家交流，汇报进度，哪怕说一声在处理，打算怎么处理，也希望今后服务器平平稳稳。等我的损失回来了再加一星，这次的版本我这里大约是四星半，具体之后再说。——————————————8.9 15:30根本没有修复！！！还在回档！！！！你们就不能停服维护发公告吗？！！！反反复复回档，扩大受影响范围，反复消耗时间和热情，这才是最掉好感的！！！停服很难吗？修好了再开求你们了！！这三个多小时完全是噩梦！看看这分掉的吧，发好公告停服三小时乃至十小时都绝对没有这么多差评，你们对在线更新究竟有什么执念我真的不懂！！！不要再喂我半成品了！！！——————————————8.9 13:00分当然不止这个分，但临近开服以来遇到的问题十分严重，什么时候改正我什么时候改分。我测试过好几次，所以愿意给时间改正，新玩家就不一定了。1、玩家的知情权极其极其有限，且十分不及时首先，不是所有人都喜欢加群，微博、微信、tap，b博等，玩家重视的消息，多个平台至少主要平台都应当“及时”公布！！！其次是公测前：不删档前一天，应该发布预下载的消息了吧？没有。好那明天不删档了，开服时间可以知道吧？晚上5点半还没有信，群里问一下也都是不清楚，拿永测服的公告问是不是十一点叫不要乱猜。第二天公测了，前一天晚上6点多才通知开服时间？？？马上不删档了，邀约改版，风车无用，那之前缘结测试的改版返还方案应该公布了吧？没有。各预约和下载渠道的礼包、互相兼容性，获得方式该说了吧？没有。只有论坛和q群里的回复，而且仅回复“只有官网和下载渠道两种礼包”，问的更细致一点就没声了。之前说11点公测，ios的app商店预约凌晨自动下载了，安卓9点10点了，仍然没有预下载消息，说官网开放下载啦，问那下载渠道礼包怎么办呢？不知道，建议等。提前开服没有通知，各渠道下载开启没有通知，什么都要拖到最后一刻，给人一种非常赶工的感觉。然后是公测这个回档bug：bug发生了那么长时间，没有第一时间关服维护，没有公告，而是开着服务器让更多后进来的人遇到bug，遭受损失，我觉得这是十分不负责任也没有意义的行为！！！我体力放在那里浪费，但是打了那么多关回档到第一关这究竟要不要重打？会不会修正？重打了会不会又回档？我什么都不知道，关又不敢打，卡又不敢抽，开着服务器有什么意义？？就算你还没商量好解决和赔偿方案，先停服维护，说一声这个问题我们已知悉，请各位玩家稍安勿躁，我们正在解决bug及讨论解决方案不就行了？迟了多久才发公告，而且也没停服。另外，这次是官方的失误让玩家遭受了损失，为什么玩家追回损失还要玩家举证，不是谁都会在游戏的每一步截图好吗？抽卡尚且有人截图，道具呢？玉呢？礼包呢？其他东西没有丢失吗？刚刚，q群公告和游戏公告说卡消失明天之内邮件补发，那微博等平台呢？人人在q群，人人三分钟登游戏看公告？此外，关卡进度丢失的情况仍未修复，我还在第一关，我也不知道我的铃铛和玉有没有少，我能打关卡了吗？我能抽卡了吗？我都不知道，现在对官方充满了不信任……
﻿魏無羨,3E+00,6小时11分钟,现已60连，全sr和r卡，这掉率这不是我故意杠，绝对降低了不止一星半点。系统补偿加一星。追加的补偿可以说是良心了吧。其余的就先这样SSR及UR掉率感人。我寻思着我以前二十连抽。两个UR三个ssr。然后今天充满期待的来了一发十连9R1SR。。？？请问你们是魔鬼吗！？？！这掉率不敢恭维。还有这个补偿，就500个免费蓬莱玉？？服务器崩的这么厉害，补偿就这样？一大波玩家充值不到账。你们官方就是这样处理的？希望有多大失望就有多大。我之前一直关注着这个游戏。内测的时候抽到UR还激动了好久。一直在跟我朋友夸这个游戏好的卡牌掉率蛮良心的。现在当我没说。什么时候官方处理好了我评分在改回来。我在这里补充一下，下面有玩家评论说这个掉率很正常。我很怀疑她有没有参加过内测。之前这个游戏的评价全是掉率超级良心。都是夸这个游戏的，两次内测评分都没有掉下9.0。那为什么这次评分瞬间掉到5.2呢？我相信玩过内测的都懂要是一开始掉率低我不会说什么。因为期望值不会这么高。我并不是内测突然运气爆棚才那么欧，我本人也算欧的。阴阳师拿了非洲大阴阳师，很快就有全图鉴了。然后王者平时开战力宝箱，我开出过龙骑士和乘风破浪等等。其余的游戏也总会欧一下，当然这个游戏是我最欧的，内测那会儿。一次十连一个UR一个ssr。然后后面一次十连也差不多。当时的评论可不就是夸掉率好高的，说这个游戏可以期待。现在反弹的这么狠，不只是充值不到账。还是那句话，希望越高，失望就越大。
